block_number,experimental_condition,condition_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
6,DFU,DFU9,RAT,R3,correct,19.7277884,bulldog,8.8738615,7,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,046dc4dc-a5c8-45b1-bf8d-f0ba0afca39b
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,F,F1,Insight,I2,incorrect,57.4918793,open vlakte,104.4190068,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
1,F,F5,RAT,R10,correct,54.6081148,lucht,18.5889247,4,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
1,F,F9,RAT,R9,correct,61.0320381,brood,10.6424143,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
1,F,F7,RAT,R7,incorrect,52.9743611,boek,8.7688023,4,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
2,F,F11,Insight,I10,correct,44.7993436,door de beide zandlopers tegelijk o; te draaien en wachten tot de 11 vol is,117.679859,4,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
2,F,F4,Insight,I7,correct,31.6813258,snel lopen,33.6686842,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
2,F,F12,RAT,R6,correct,33.8159986,deur,11.2212428,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
2,F,F6,Insight,I4,correct,23.306131,de letter m,15.6709323,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
3,DFU,DFU5,RAT,R3,correct,28.0688892,sneeuw,19.667693,4,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
3,DFU,DFU3,RAT,R8,correct,36.523693,r,20.0107384,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
3,DFU,DFU7,RAT,R11,correct,27.296514,No Response,20.0163538,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
3,DFU,DFU2,RAT,R1,correct,19.8706361,nachtleven,17.2330053,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
4,F,F8,Insight,I12,incorrect,32.0103341,bacterie\,41.8995236,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
4,F,F10,Insight,I5,correct,52.1231217,wereldbol,17.5842917,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
4,F,F2,RAT,R5,correct,41.8620401,goud,12.4365509,4,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
4,F,F3,RAT,R12,incorrect,25.0553345,steen,7.6204569,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
5,DFU,DFU11,Insight,I6,correct,29.7252621,hij is blind en gebruikt braille,19.5536984,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
5,DFU,DFU6,Insight,I8,correct,37.1379187,coach>hem>Ruben> Marit,84.7211551,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
5,DFU,DFU8,RAT,R4,correct,31.9450299,groen,16.6040645,2,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
5,DFU,DFU1,Insight,I1,correct,23.2186947,de ladder stond nog niet in de lucht,41.7497158,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
6,DFU,DFU9,RAT,R2,correct,17.2599953,blo,20.0154507,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
6,DFU,DFU4,Insight,I3,correct,28.4399189,een belofte,15.7448255,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
6,DFU,DFU10,Insight,I11,correct,49.2124045,lift,20.7693377,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
6,DFU,DFU12,Insight,I9,correct,46.7468364,toen was er nog geen sprake van keizers,33.2146134,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
1,F,F3,Insight,I8,correct,55.550992,"coach>hem>ruben
>marit",97.480985,1,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
1,F,F11,RAT,R5,correct,41.3448104,/,20.0121866,1,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
1,F,F9,Insight,I4,correct,32.9600242,m,24.1870559,6,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
1,F,F12,RAT,R3,correct,39.4728072,/,20.002118,1,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
2,F,F7,RAT,R10,correct,36.7386493,auto,20.0010352,4,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
2,F,F1,RAT,R8,correct,56.4739733,No Response,0.0142012,5,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
2,F,F10,Insight,I1,correct,34.6804226,er  staat niet of de ladder 12 hoog staat tegen een muur\,100.0810273,4,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
2,F,F4,Insight,I7,correct,28.6890185,loop langs de basis en dan langs de hoogte,86.6999773,4,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
3,DFU,DFU6,RAT,R7,correct,41.0533142,hout,9.9423335,6,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
3,DFU,DFU1,Insight,I10,incorrect,29.7802152,No Response,120.0111393,1,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
3,DFU,DFU8,RAT,R9,incorrect,59.1731663,huid,20.002146,1,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
3,DFU,DFU4,RAT,R6,correct,45.9009413,/,17.2454834,3,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
4,DFU,DFU12,Insight,I2,correct,47.5601228,virtuele wereld,76.7491988,5,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
4,DFU,DFU9,Insight,I6,correct,35.7153472,hij heeft een bril aan met nachtvisie,33.690792,1,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
4,DFU,DFU11,RAT,R4,correct,62.4752386,water,17.1198904,1,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
4,DFU,DFU3,Insight,I11,correct,37.9364926,een persoon die drugs neemt,74.1287834,7,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
5,F,F6,Insight,I3,correct,31.2392897,een hart,10.2206816,5,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
5,F,F5,RAT,R2,correct,35.0858158,nederland,16.5227081,5,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
5,F,F8,Insight,I12,correct,25.3366024,vuur,15.667719,6,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
5,F,F2,RAT,R11,correct,31.3413383,fitness,18.1472918,4,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
6,DFU,DFU2,Insight,I5,correct,31.9957242,zonnenstralen,23.3899441,5,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
6,DFU,DFU5,RAT,R1,correct,32.3386989,avondje  uit,16.8437706,4,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
6,DFU,DFU7,Insight,I9,correct,46.3319073,De keizer was al overleden in dat jaartal,104.9576071,2,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
6,DFU,DFU10,RAT,R12,correct,30.3829392,haart,20.0010399,1,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
1,DFU,DFU9,Insight,I2,correct,79.6256802,Een verwoest landschap,119.0505958,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
1,DFU,DFU1,RAT,R11,correct,61.018871,dieet,20.0132481,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
1,DFU,DFU11,Insight,I4,correct,72.515842,/,110.3016119,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
1,DFU,DFU6,RAT,R5,correct,71.9203253,fishtick,20.0101753,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
2,F,F3,RAT,R2,correct,81.2665279,Boerderij,12.4048904,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
2,F,F11,RAT,R7,correct,45.1894475,/,17.2342868,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
2,F,F6,RAT,R9,correct,45.7194729,broodtrommel,11.0723546,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
2,F,F2,RAT,R3,correct,48.4511291,/,16.6883678,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
3,DFU,DFU2,RAT,R8,correct,40.4768562,dak,11.1330947,6,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
3,DFU,DFU10,Insight,I7,correct,46.1410517,Niet,55.6191679,5,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
3,DFU,DFU5,RAT,R6,correct,38.6902282,/,20.0008765,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
3,DFU,DFU7,RAT,R10,correct,53.6254873,No Response,20.0142387,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
4,F,F9,Insight,I1,correct,51.6253882,Iemand ving hem opof iets heeft zijn val gebroken voor hij op de grond terecht kwam,51.0527258,1,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
4,F,F8,RAT,R12,correct,29.4384556,/,10.8656821,1,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
4,F,F10,Insight,I8,correct,33.3273439,Marit > Ruben> c,120.0080085,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
4,F,F1,Insight,I10,correct,51.7506718,/,24.2201899,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
5,DFU,DFU3,Insight,I12,correct,36.0372731,vuur,57.7486953,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
5,DFU,DFU4,RAT,R1,correct,41.4892499,barvrouw,16.8383252,5,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
5,DFU,DFU8,Insight,I11,correct,37.9934492,De weegschaal,85.7208087,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
5,DFU,DFU12,Insight,I6,correct,45.3703031,Hij leest zijn gedachten voor,58.5862354,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
6,F,F7,Insight,I5,correct,33.0616132,/,28.8226958,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
6,F,F12,Insight,I9,correct,22.9899687,/,24.7756673,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
6,F,F4,RAT,R4,correct,22.927647,/,11.9072224,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
6,F,F5,Insight,I3,correct,23.4032326,Je hart,10.2903402,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
1,DFU,DFU5,RAT,R2,correct,59.046015,nederlqnd,10.0011652,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
1,DFU,DFU1,RAT,R9,correct,39.0535391,No Response,0.0142731,3,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
1,DFU,DFU2,RAT,R7,correct,74.1155609,gezelschapspel,19.5900224,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
1,DFU,DFU8,Insight,I12,incorrect,53.9913053,vuur,18.7659406,3,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
2,F,F3,RAT,R3,correct,49.0602773,winterbar,20.0268256,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
2,F,F9,RAT,R8,correct,33.9578393,sinterklaas,14.1567142,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
2,F,F2,RAT,R4,correct,49.801793,zomer,12.3028405,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
2,F,F5,Insight,I7,correct,27.0243285,als het een ondiep meer is,76.0135019,7,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
3,DFU,DFU11,RAT,R6,incorrect,55.3086282,living,13.3521428,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
3,DFU,DFU4,Insight,I5,correct,42.8733631,postzegel,24.8829252,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
3,DFU,DFU12,RAT,R12,correct,61.6977428,verkoper,13.9117679,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
3,DFU,DFU7,Insight,I6,correct,53.2319772,hij heeft een fotografisch geheugen en kan dus lezen als hij zijn ogen toe heeft,31.0817829,2,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
4,DFU,DFU6,Insight,I1,correct,47.4180682,hij hangt vst met een beveiligingskabel,26.4781683,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
4,DFU,DFU10,Insight,I3,correct,52.2628906,vertrouwen,16.7775173,3,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
4,DFU,DFU9,Insight,I10,correct,29.6387776,eerst 11 min dus met de ene zandloper en dan  nog 4 min schatten met de andere,31.0089378,2,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
4,DFU,DFU3,RAT,R10,correct,57.0291435,cabrio,10.91772,2,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
5,F,F7,Insight,I4,incorrect,28.5724691,geen idee,69.5437219,7,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
5,F,F4,RAT,R1,correct,26.3355008,uitgaan,8.9632104,2,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
5,F,F11,Insight,I11,correct,39.5361388,de zon,9.749379,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
5,F,F1,RAT,R11,correct,32.9960839,dietiste,9.1478498,7,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
6,F,F12,Insight,I9,correct,58.6217691,er was geen keizer in 544 v.Chr,53.7206416,3,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
6,F,F6,Insight,I8,correct,42.8096172,marit>ruben>hem>coach,85.1188395,5,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
6,F,F10,Insight,I2,incorrect,36.1704513,lego,13.0705962,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
6,F,F8,RAT,R5,incorrect,28.3016962,vissersboot,16.4468322,5,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,9cffc920-1134-4ac9-aca2-aae37f1d0fde
1,F,F5,RAT,R4,correct,41.2525681,z,20.0092303,3,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
1,F,F2,RAT,R1,correct,32.1904384,woord,19.0657544,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
1,F,F4,RAT,R9,correct,31.4286882,woord,19.33235,3,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
1,F,F10,RAT,R12,correct,27.7367288,wagen,14.903849,5,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
2,F,F12,Insight,I1,correct,24.6406738,hij hangt aan een ondersteunend koord,25.5208042,1,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
2,F,F1,RAT,R2,incorrect,30.6574461,nederland,12.0009274,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
2,F,F7,Insight,I8,correct,20.1816047,Hem<Marit<Ruben<Hij,80.423592,3,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
2,F,F9,RAT,R3,correct,26.1404914,kleding,9.0735018,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
3,F,F3,Insight,I3,correct,9.7893357,vriendschap,11.1073167,5,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
3,F,F11,Insight,I11,correct,7.4265149,stress,26.607494,7,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
3,F,F8,Insight,I5,correct,13.1233769,No Response,46.7209981,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
3,F,F6,Insight,I10,correct,9.326894,No Response,20.0152553,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
4,DFU,DFU10,Insight,I4,correct,13.9615391,een begroeting,20.2529025,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
4,DFU,DFU3,Insight,I9,correct,33.6692756,544 voor christus kan niet op de munt staan,29.0592233,5,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
4,DFU,DFU4,Insight,I12,correct,29.2536472,vuur,17.1530857,5,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
4,DFU,DFU5,RAT,R8,correct,26.517889,stoom,10.4518701,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
5,DFU,DFU6,RAT,R11,correct,29.4557821,huisartspraktijk,16.9353287,1,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
5,DFU,DFU7,RAT,R6,correct,43.8856689,cabardouche,14.2017563,4,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
5,DFU,DFU9,RAT,R7,correct,21.058222,houtworm,10.8225337,1,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
5,DFU,DFU12,RAT,R5,correct,28.5503652,goudvis,8.7025297,3,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
6,DFU,DFU2,Insight,I6,correct,35.1633846,nachtkijker,14.8869303,4,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
6,DFU,DFU1,RAT,R10,correct,27.9438726,leiband,13.2851606,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
6,DFU,DFU11,Insight,I2,correct,29.6814588,een maquette,21.3552207,4,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
6,DFU,DFU8,Insight,I7,correct,37.5021726,het meer staat droog,29.970987,3,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
1,F,F6,Insight,I12,correct,59.6273098,vuur,44.5250508,4,18,Man,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,e2ef58d0-6880-494c-87be-b5f439741a68
1,F,F11,RAT,R8,correct,50.1763531,rook,11.8032504,4,18,Man,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,e2ef58d0-6880-494c-87be-b5f439741a68
1,F,F10,Insight,I8,incorrect,57.910601,Hem>Hij>Ruben>Marit,102.789593,4,18,Man,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,e2ef58d0-6880-494c-87be-b5f439741a68
1,F,F1,RAT,R6,correct,34.943777,No Response,20.0049484,7,18,Man,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,e2ef58d0-6880-494c-87be-b5f439741a68
2,DFU,DFU10,RAT,R12,correct,58.3796431,asbak,18.1004776,6,18,Man,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,e2ef58d0-6880-494c-87be-b5f439741a68
2,DFU,DFU6,Insight,I1,correct,44.5328545,"de ladder is 12 meter lang , de glazenwasser  stond niet 12 meter hoog op de trap.",108.2444165,5,18,Man,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,e2ef58d0-6880-494c-87be-b5f439741a68
2,DFU,DFU8,RAT,R7,correct,24.1439183,kippenhok,17.9068262,5,18,Man,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,e2ef58d0-6880-494c-87be-b5f439741a68
2,DFU,DFU5,Insight,I5,correct,26.7323198,No Response,86.0049978,5,18,Man,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,e2ef58d0-6880-494c-87be-b5f439741a68
3,F,F8,RAT,R5,incorrect,32.3708877,garnaalvisser,18.8377105,7,18,Man,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,e2ef58d0-6880-494c-87be-b5f439741a68
